"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 14:08:40 GMT 2023","Tue May 02 14:08:49 GMT 2023","8961","","RegistrationTest","","RegistrationTest","testRegistrationAndVerify","Regisztráció és ellenőrzés","Egy felhasználó létrehozása majd azzal történő bejelentkezés"
"passed","Tue May 02 14:09:23 GMT 2023","Tue May 02 14:09:25 GMT 2023","1277","","ButtonsTest","","ButtonsTest","testSeeOurWorkButton","See Our Work button test",""
"passed","Tue May 02 14:09:14 GMT 2023","Tue May 02 14:09:15 GMT 2023","1432","","ButtonsTest","","ButtonsTest","testAboutButton","About button test",""
"failed","Tue May 02 14:09:07 GMT 2023","Tue May 02 14:09:09 GMT 2023","1720","","ProfileTest","","ProfileTest","testEditProfile","A profil adatainak módosítása",""
"passed","Tue May 02 14:09:17 GMT 2023","Tue May 02 14:09:18 GMT 2023","1434","","ButtonsTest","","ButtonsTest","testConnectWithUs","Connect With Us button test",""
"passed","Tue May 02 14:09:28 GMT 2023","Tue May 02 14:09:29 GMT 2023","886","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithEmptyInput","Bejelentkezés üres mezőkkel",""
"passed","Tue May 02 14:09:22 GMT 2023","Tue May 02 14:09:23 GMT 2023","1167","","ButtonsTest","","ButtonsTest","testProfileButton","Profile button test",""
"passed","Tue May 02 14:09:30 GMT 2023","Tue May 02 14:09:31 GMT 2023","1117","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithValidUser","Bejelentkezés érvényes adatokkal",""
"passed","Tue May 02 14:09:11 GMT 2023","Tue May 02 14:09:12 GMT 2023","614","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditions","'Terms and conditions' megjelenése","A 'Terms and conditions' ablak láthatóságának tesztelése"
"passed","Tue May 02 14:09:21 GMT 2023","Tue May 02 14:09:22 GMT 2023","1275","","ButtonsTest","","ButtonsTest","testPortfolioButton","Portfolio button test",""
"passed","Tue May 02 14:08:51 GMT 2023","Tue May 02 14:08:52 GMT 2023","1311","","RegistrationTest","","RegistrationTest","testRegistrationValidData","Regisztráció helyes adatokkal","Regisztráció tesztelése megfelelő formátumú adatokkal"
