"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 16:00:56 GMT 2023","Tue May 02 16:00:58 GMT 2023","1518","","ButtonsTest","","ButtonsTest","testConnectWithUs","Connect With Us gomb teszt",""
"passed","Tue May 02 16:00:21 GMT 2023","Tue May 02 16:00:29 GMT 2023","7244","","RegistrationTest","","RegistrationTest","testRegistrationAndVerify","Regisztráció és ellenőrzés","Egy felhasználó létrehozása majd azzal történő bejelentkezés"
"passed","Tue May 02 16:01:08 GMT 2023","Tue May 02 16:01:09 GMT 2023","906","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginWithEmptyInput","Bejelentkezés üres mezőkkel",""
"passed","Tue May 02 16:00:42 GMT 2023","Tue May 02 16:00:44 GMT 2023","1728","","ProfileTest","","ProfileTest","testDeleteData","Adatok törlése",""
"passed","Tue May 02 16:00:51 GMT 2023","Tue May 02 16:00:52 GMT 2023","781","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditions","'Terms and conditions' megjelenése","A 'Terms and conditions' ablak láthatóságának tesztelése"
"passed","Tue May 02 16:00:52 GMT 2023","Tue May 02 16:00:52 GMT 2023","652","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAcceptAndRefresh","'Terms and conditions' elfogadása majd frissítés","'Terms and conditions' elfogadása, majd ellenőrzés, hogy ismét megjelenik-e"
"passed","Tue May 02 16:00:52 GMT 2023","Tue May 02 16:00:53 GMT 2023","619","","TermsAndConditionsTest","","TermsAndConditionsTest","testTermsAndConditionsAfterClick","'Terms and conditions' elfogadása","A 'Terms and conditions' ablak felugrik és a felhasználó el tudja fogadni"
"failed","Tue May 02 16:00:47 GMT 2023","Tue May 02 16:00:49 GMT 2023","1669","","ProfileTest","","ProfileTest","testEditProfile","A profil adatainak módosítása",""
"failed","Tue May 02 16:00:59 GMT 2023","Tue May 02 16:01:01 GMT 2023","1246","","ButtonsTest","","ButtonsTest","testHomeButton","Home gomb teszt",""
"passed","Tue May 02 16:01:03 GMT 2023","Tue May 02 16:01:04 GMT 2023","1198","","ButtonsTest","","ButtonsTest","testSeeOurWorkButton","See Our Work button teszt",""
"passed","Tue May 02 16:01:04 GMT 2023","Tue May 02 16:01:08 GMT 2023","3319","","LoginAndLogoutTest","","LoginAndLogoutTest","testLoginMultipleUsers","Bejelentkezés több felhasználóval",""
"failed","Tue May 02 16:00:44 GMT 2023","Tue May 02 16:00:45 GMT 2023","1291","","ProfileTest","","ProfileTest","testDeleteProfile","Profil törlése",""
"passed","Tue May 02 16:01:02 GMT 2023","Tue May 02 16:01:03 GMT 2023","1167","","ButtonsTest","","ButtonsTest","testProfileButton","Profile gomb teszt",""
"passed","Tue May 02 16:01:01 GMT 2023","Tue May 02 16:01:02 GMT 2023","1188","","ButtonsTest","","ButtonsTest","testPortfolioButton","Portfolio gomb teszt",""
"passed","Tue May 02 16:00:32 GMT 2023","Tue May 02 16:00:33 GMT 2023","1110","","RegistrationTest","","RegistrationTest","testRegistrationValidData","Regisztráció helyes adatokkal","Regisztráció tesztelése megfelelő formátumú adatokkal"
